Country,City,AccentCity,Region,Population,Latitude,Longitude,temperature,Humidity,Cloudiness,Wind Speed
ph,pajo aguinaldo,Pajo Aguinaldo,30,,10.866667,122.36666699999999,296.357,95,44,1.32
mw,jentha jembe,Jentha Jembe,21,,-11.05,34.1166667,296.482,85,8,1.72
cn,zengjiageng,Zengjiageng,32,,29.080357,104.028226,277.807,74,76,1.07
pk,khaprezai tarin,Khaprezai Tarin,02,,30.194346000000003,67.667714,275.632,66,0,1.12
fr,sauret,Sauret,98,,45.993302,2.8082979999999997,284.15,66,90,6.2
us,holly ridge,Holly Ridge,VA,,37.6383333,-77.39277779999999,276.16,69,1,4.1
ao,metoquica,Metoquiça,06,,-11.966667,14.783332999999999,290.757,98,80,1.42
ru,sinevo,Sinëvo,42,,60.943158999999994,30.115103,272.732,93,92,3.32
cn,dunancun,Dunancun,02,,30.893239,119.89093600000001,268.357,69,0,1.47
vn,son lai su,Son Lai Su,27,,14.016667000000002,109.16666699999999,295.657,96,92,5.72
ru,ramenye,Ramenye,47,,56.15391999999999,35.500088,275.457,95,92,7.17
br,sitio jacinto de avelari moreira,Sítio Jacinto de Avelari Moreira,27,,-25.021542999999998,-48.516842,302.607,54,0,1.22
au,kooroongarra,Kooroongarra,04,,-28.066667,151.25,289.307,80,0,4.92
cn,nanyo,Nanyo,11,,27.226632000000002,112.72028799999998,277.257,78,0,2.67
cf,tanga,Tanga,13,,6.4333333,16.25,299.057,37,0,2.87
iq,`ali wawi,`Ali Wawi,01,,33.47555560000001,44.0341667,285.15,88,20,2.6
pk,barani kodan,Barani Kodan,04,,31.29993,72.64733100000001,286.982,80,68,1.22
es,las fraguas,Las Fraguas,39,,43.194472999999995,-4.055376,285.15,100,90,1.5
br,barbosa ferraz,Barbosa Ferraz,18,9048.0,-24.066667000000002,-52.05,305.407,52,0,2.67
ve,el marquez,El Márquez,15,,10.2791667,-66.3975,298.532,79,64,1.22
pk,landi,Landi,05,,24.374844,68.02073299999999,290.532,85,64,5.42
us,goosetown,Goosetown,TN,,35.3166667,-84.5569444,276.28,55,1,2.1
cn,houxiangshuigou,Houxiangshuigou,19,,40.006854,123.38911200000001,260.307,36,0,4.82
id,karoan,Karoan,38,,-3.0573,119.5625,289.482,96,56,0.27
cu,paquito rosales,Paquito Rosales,15,,20.199722199999997,-75.7830556,299.3,88,75,2.6
de,untergrasheim,Untergrasheim,02,,48.666667,11.266667,275.36,75,0,10.8
au,denison,Denison,08,,-29.283333000000002,114.91666699999999,296.15,78,0,3.6
ru,moshna,Moshna,51,,56.928886,44.679856,268.282,88,80,3.67
pl,wutzig,Wutzig,76,,52.968376,15.696817999999999,271.382,92,88,6.47
mx,baburia,Baburia,25,,25.816667000000002,-108.2,293.607,26,88,1.32
gr,khondraiika,Khondraíika,31,,38.3833333,21.533333300000002,280.69,87,20,1.12
cn,shanhsiachen,Shanhsiachen,10,,36.961667,114.64027800000001,268.482,42,0,2.97
do,cruce del manchado,Cruce del Manchado,29,,18.8,-69.2833333,303.48,74,75,4.1
bi,kibatama,Kibatama,10,,-3.6266667,29.621111100000004,290.957,100,92,1.52
pk,ismail detha,Ismail Detha,05,,26.395023,68.05140899999999,288.15,62,75,5.1
ar,san julian,San Julian,17,,-22.783333,-62.483332999999995,304.107,75,36,2.12
nl,eck en wiel,Eck en Wiel,03,,51.970295,5.456429,277.43,87,75,10.3
et,fietira,Fietira,46,,9.983333,38.9,284.632,53,20,0.87
eg,`ezbet el-qarn,`Ezbet el-Qarn,21,,31.3333333,31.116666700000003,287.807,85,80,3.57
az,saritala,Saritala,58,,40.733199,45.717543,275.15,69,20,3.1
de,wolferts,Wolferts,02,,47.933333000000005,10.283333,277.32,80,0,14.4
se,brattby,Brattby,23,,63.9,19.883333,274.15,95,90,6.7
ua,buchki,Buchki,02,,52.310355,33.111339,274.982,98,92,6.12
kr,ponduri,Ponduri,13,,37.23726,127.58721000000001,270.91,38,5,3.6
mp,camp creoles,Camp Créoles,16,,-20.132777800000003,57.5933333,299.15,69,20,4.1
cz,hole,Hole,88,,50.0,14.55,271.49,86,90,7.7
ua,potsilnya,Potsilnya,02,,51.729668,32.042928,272.782,94,92,7.77
es,rebollar de ebro,Rebollar de Ebro,39,,42.794032,-3.954362,282.15,100,75,15.4
af,bakela,Bakela,23,,31.601946999999996,67.08144399999999,266.907,68,48,0.87
af,dahan-e shurab,Dahan-e Shurab,32,,35.845533,67.277361,263.157,66,0,1.12
cn,wangshatang,Wangshatang,03,,27.656404,116.04456299999998,270.657,83,0,1.42
de,lederhose,Lederhose,15,,50.8,11.916667,272.26,80,40,7.2
hu,kanye,Kányé,03,,46.833333,21.383333,272.15,74,0,6.7
ie,gortbaun,Gortbaun,20,,53.783333299999995,-9.383333300000002,272.15,86,0,4.1
tr,cagsak,Cagsak,38,,38.429542,36.55794,261.632,63,0,0.87
my,kampung ujong tanjong,Kampung Ujong Tanjong,08,,6.403446,100.131913,297.81,94,75,2.07
ee,korgessaare,Kõrgessaare,21,,57.895,27.2647222,270.87,74,90,2.6
bj,ouroutountaya,Ouroutountaya,01,,10.6,1.5666666999999999,296.857,32,0,3.32
pk,marufi banda,Marufi Banda,03,,33.444444,70.771389,276.307,90,76,0.97
cn,baikou,Baikou,18,,24.733333,106.1,279.207,88,56,0.82
id,sineran,Sineran,07,,-7.361389,109.059722,295.007,100,88,0.87
pk,rind baloch,Rind Baloch,04,,28.994444,70.833333,287.607,81,68,1.77
cd,bebentsie,Bebentsie,06,,-3.766667,16.583333,294.732,98,68,0.87
mx,el quelele,El Quelele,03,,24.191667000000002,-110.50833300000001,296.15,64,75,6.2
vn,non khe,Non Khe,14,,20.133333,106.05,289.632,94,92,2.12
dz,oulad soltane,Oulad Soltane,20,,36.466666700000005,2.8333333,288.15,67,75,2.1
es,tobazo,Tobazo,51,,37.516667,-4.066667,284.15,81,75,2.1
id,belokang 1,Belokang 1,30,,-6.178333,107.177778,300.15,83,20,3.1
br,bairro do paiol pequeno,Bairro do Paiol Pequeno,27,,-23.632525,-47.193981,302.79,37,20,4.1
in,bhomrabil,Bhomrabil,03,,26.465159000000003,89.90405799999999,289.957,87,0,2.02
eg,`ezab nubar,`Ezab Nûbâr,06,,31.2166667,30.0333333,291.04,68,40,2.6
kr,sagwi,Sagwi,13,,37.8612,127.0734,269.83,35,0,3.6
pl,jeziorna,Jeziorna,74,,51.375405,18.227782,272.632,75,88,9.67
cz,tuhan,Tuhan,83,,50.536509,14.467373,271.15,86,90,7.7
cz,mezilesi,Mezilesi,86,,49.933333000000005,16.683332999999998,274.15,64,90,5.1
pk,goth tunia,Goth Tunia,05,,27.802076,68.099232,287.15,76,40,1.67
ph,arsaas,Arsaas,51,,16.090999999999998,119.8407,299.632,100,56,2.12
sl,teleia,Teleia,02,,9.9666667,-11.816666699999999,302.957,24,0,2.77
ba,podanovici,Podanovici,01,,44.4772222,18.51,276.15,69,20,4.6
cn,huanghuibai,Huanghuibai,12,,30.096621999999996,114.503649,272.657,61,0,1.27
it,marigliano,Marigliano,04,31772.0,40.933333000000005,14.45,280.69,71,75,2.6
ph,linamanan,Linamanan,31,,16.5612,121.63,295.232,99,92,1.52
mz,manzu,Manzu,10,,-18.702777800000003,32.9913889,297.15,69,40,0.47
pl,jeziorna oborska,Jeziorna Oborska,78,,52.083333,21.116667,273.15,84,0,6.2
ie,tobernaclougha cross roads,Tobernaclougha Cross Roads,04,,52.2519444,-9.025277800000001,274.15,80,40,6.2
